Book_ID	Reservation_Date	Checkout_Date	Return_Date	Member_ID
14		25/08/2019	01/09/2019	2465
14		05/09/2019	15/09/2019	7529
15		01/06/2019	15/06/2019	1822
15	10/06/2019	16/06/2019	18/06/2019	9575
15		19/06/2019	23/06/2019	3402
15	22/06/2019	24/06/2019	01/07/2019	6214
15		01/07/2019	05/07/2019	4278
15		07/07/2019	16/07/2019	9282
15	15/07/2019	17/07/2019	27/07/2019	8695
16		01/07/2019	07/07/2019	9279
16	06/07/2019	08/07/2019	15/07/2019	1108
16		16/07/2019	26/07/2019	1463
16	20/07/2019	27/07/2019	05/08/2019	8049
16		07/08/2019	17/08/2019	6163
17		01/06/2019	15/06/2019	3040
17	14/06/2019	16/06/2019	18/06/2019	6765
17		20/06/2019	26/06/2019	5986
17	23/06/2019	27/06/2019	29/07/2019	8783
18		01/07/2019	28/07/2019	9991
18	10/07/2019	30/07/2019	15/08/2019	1478
18		01/09/2020	10/09/2020	5088
18	08/09/2020	11/09/2020	15/09/2020	9373
18		16/09/2020	20/09/2020	7541
18		21/09/2020	26/09/2020	7407
18	23/09/2020	29/09/2020	15/10/2020	5485
19		10/10/2021	20/10/2021	3987
19	15/10/2021	21/10/2021	28/10/2021	8422
19		01/11/2021	22/11/2021	9466
20		10/10/2021	15/10/2021	6395
20	13/10/2021	16/10/2021	21/10/2021	8478
20		25/10/2021	25/11/2021	6609
20		26/11/2021	28/11/2021	6152
21		01/09/2021	01/10/2021	1859
21	28/09/2021	02/10/2021	18/10/2021	4895
21		19/10/2021	29/10/2021	2100
21		01/11/2021	02/12/2021	9947
22		01/12/2021	12/12/2021	7011
22	10/12/2021	12/12/2021	28/12/2021	2197
22		29/12/2021	14/01/2022	6000
22		15/01/2021	25/02/2021	2639
23		01/01/2021	09/01/2021	6013
23	08/01/2021	10/01/2021	19/01/2021	2059
23		21/01/2021	02/02/2021	4747
23		04/02/2021	08/02/2021	4442
23	07/02/2021	09/02/2021	18/02/2021	3018
23		19/03/2021	28/03/2021	9126
24		03/03/2021	18/03/2021	9023
24	15/03/2021	21/03/2021	29/03/2021	9477
24		01/04/2021	18/04/2021	9928
24	17/04/2021	20/04/2021	15/05/2021	2426
24		17/05/2021	27/05/2021	1117
24	24/05/2021	27/05/2021	30/05/2021	9474
25		01/06/2021	15/06/2021	3009
25	10/06/2021	16/06/2021	26/06/2021	7521
25		01/07/2021	10/07/2021	7890
25		14/07/2021	18/07/2021	8660
26		20/07/2021	25/07/2021	1374
26	23/07/2021	26/07/2021	15/08/2021	6468
26		18/08/2021	28/08/2021	1069
26	26/08/2021	29/08/2021	15/09/2021	9340
26		18/09/2021	18/10/2021	1656
27		01/09/2022	06/09/2022	2635
27	05/09/2022	07/09/2022	09/09/2022	1567
27		10/09/2022	18/09/2022	2071
27		20/09/2022	10/10/2022	8565
28		01/10/2022	10/10/2022	5976
28	09/10/2022	11/10/2022	19/10/2022	1665
28		20/10/2022	22/10/2022	8155
28		23/10/2022	29/10/2022	2021
28		29/10/2022	06/11/2022	2570
29		01/09/2022	07/09/2022	9665
29	06/09/2022	08/09/2022	14/09/2022	6601
29		15/09/2022	20/09/2022	6476
30	18/09/2022	21/09/2022	22/09/2022	7291
30		23/09/2022	26/09/2022	2774
30	24/09/2022	27/09/2022	29/09/2022	1169
30		29/09/2022	20/10/2022	3154
31		01/10/2022	10/10/2022	5253
31	09/10/2022	11/10/2022	14/10/2022	3586
31		15/10/2022	20/10/2022	3882
32		09/09/2022	14/09/2022	5489
32	10/09/2022	15/09/2022	18/09/2022	2283
32		20/09/2022	14/09/2022	1768
33		01/09/2022	10/09/2022	4432
33	09/09/2022	12/09/2022	17/09/2022	5783
33		19/09/2022	29/09/2022	6802
33		01/10/2022	20/10/2022	8309
34		10/10/2022	15/10/2022	7806
34	14/10/2022	16/10/2022	20/10/2022	7030
34		21/10/2022	29/10/2022	6014
35		10/09/2022	16/09/2022	2376
35	15/09/2022	17/09/2022	19/09/2022	6957
35		20/09/2022	28/09/2022	6554
35		29/09/2022	15/10/2022	9547
36		03/09/2022	10/10/2022	3856
37		01/10/2022	10/10/2022	3135
37	08/10/2022	11/10/2022	16/10/2022	5181
37		18/10/2022	28/10/2022	4305
39		13/09/2022	30/09/2022	5308
39	28/09/2022	01/10/2022	17/10/2022	1194
40		01/10/2022	13/10/2022	1963
40	10/10/2022	14/10/2022	18/10/2022	4900
41		10/09/2022	18/09/2022	7884
41		20/09/2022	29/09/2022	7289
42		01/09/2022	10/10/2022	1575
42		01/11/2022		9558
43		03/11/2022		4699
44		10/10/2022	15/10/2022	4064
44		01/11/2022		8739
45		17/10/2022	06/11/2022	3030
46		06/11/2022		3457
47		10/10/2022	14/10/2022	1693
47	12/10/2022	15/10/2022	20/10/2022	6432
47		01/11/2022		3846
48		06/11/2022		5803
49		10/10/2022	18/10/2022	4570
50		17/10/2022	01/11/2022	5408
